time,w_g
9.15,3.59948904213409e-06
9.1625,3.32049855156274e-06
9.175,3.02838899370966e-06
9.1875,2.72661757401895e-06
9.2,2.418642788379e-06
9.2125,2.1081826463958e-06
9.225,1.79829358081142e-06
9.2375,1.4929774570502e-06
9.25,1.19488601532822e-06
9.2625,9.10123976253195e-07
9.275,6.36332097704575e-07
9.2875,3.7956960164134e-07
9.3,1.43241817922855e-07
9.3125,-7.17483208694254e-08
9.325,-2.62794656061308e-07
9.3375,-4.28199497121735e-07
9.35,-5.66899630001377e-07
9.3625,-6.77065641468636e-07
9.375,-7.60257225569523e-07
9.3875,-8.14157017470465e-07
9.4,-8.35789644562488e-07
9.4125,-8.3177223003453e-07
9.425,-7.99294765812703e-07
9.4375,-7.40447204804405e-07
9.45,-6.56360251252898e-07
9.4625,-5.48941046379918e-07
9.475,-4.20174343695155e-07
9.4875,-2.72356397440576e-07
9.5,-1.08034206806252e-07
9.5125,7.00991123567627e-08
9.525,2.59120851237774e-07
9.5375,4.56000811650407e-07
9.55,6.57645172563455e-07
9.5625,8.60902993880631e-07
9.575,1.06262019279794e-06
9.5875,1.25967020217765e-06
9.6,1.44900589787948e-06
9.6125,1.62771118867433e-06
9.625,1.79298867518463e-06
9.6375,1.94217021636509e-06
9.65,2.07289307161301e-06
9.6625,2.18301418035091e-06
9.675,2.27063175075398e-06
9.6875,2.33403833040903e-06
9.7,2.3720034394196e-06
9.7125,2.38354314706263e-06
9.725,2.36796642035698e-06
9.7375,2.32495336059454e-06
9.75,2.25453245746512e-06
9.7625,2.15707309303772e-06
9.775,2.03322481190586e-06
9.7875,1.88400582474508e-06
9.8,1.71070695430573e-06
9.8125,1.51495607432331e-06
9.825,1.2984928814518e-06
9.8375,1.0637312196777e-06
9.85,8.12173389841172e-07
9.8625,5.47587633083204e-07
9.875,2.72386190060717e-07
9.8875,-1.17573215023545e-08
9.9,-3.01017992888867e-07
9.9125,-5.92798816496981e-07
9.925,-8.84036969054235e-07
9.9375,-1.17182781121652e-06
9.95,-1.4532765099874e-06
9.9625,-1.72559044025002e-06
9.975,-1.98608283542239e-06
9.9875,-2.23224271314019e-06
10,-2.46172120103773e-06
10.0125,-2.67237777508513e-06
10.025,-2.86229657480586e-06
10.0375,-3.02979841386871e-06
10.05,-3.17353127960963e-06
10.0625,-3.29234990156792e-06
10.075,-3.38540674686211e-06
10.0875,-3.45227488262913e-06
10.1,-3.49271532530054e-06
10.1125,-3.5068603268888e-06
10.125,-3.49510347653467e-06
10.1375,-3.45815915817616e-06
10.15,-3.39705585624728e-06
10.1625,-3.31303496555748e-06
10.175,-3.20765563872706e-06
10.1875,-3.08275388287692e-06
10.2,-2.94025509447772e-06
10.2125,-2.78234138461443e-06
10.225,-2.61134430737187e-06
10.2375,-2.42981277855674e-06
10.25,-2.24021932088382e-06
10.2625,-2.04536686031555e-06
10.275,-1.84744651843611e-06
10.2875,-1.64898122652845e-06
10.3,-1.45469822518708e-06
10.3125,-1.26472260229753e-06
10.325,-1.08274408164303e-06
10.3375,-9.10721639270056e-07
10.35,-7.50938957769792e-07
10.3625,-6.05357017823674e-07
10.375,-4.75878629198932e-07
10.3875,-3.64106569451798e-07
10.4,-2.71360678012674e-07
10.4125,-1.9870661210129e-07
10.425,-1.47011876199741e-07
10.4375,-1.1678868826426e-07
10.45,-1.08409438651144e-07
10.4625,-1.21500095252203e-07
10.475,-1.58238957716701e-07
10.4875,-2.11680796575745e-07
10.5,-2.86501315197195e-07
10.5125,-3.80580081610061e-07
10.525,-4.91721365330272e-07
10.5375,-6.18799280597838e-07
10.55,-7.59859426647319e-07
10.5625,-9.12971503140485e-07
10.575,-1.07592235145375e-06
10.5875,-1.24648210225786e-06
10.6,-1.42226099275814e-06
10.6125,-1.6008443044256e-06
10.625,-1.77975443209763e-06
10.6375,-1.95652425998586e-06
10.65,-2.12867644575498e-06
10.6625,-2.29379794465057e-06
10.675,-2.44959140661533e-06
10.6875,-2.59378329330062e-06
10.7,-2.72431727657102e-06
10.7125,-2.83927466458952e-06
10.725,-2.93686810316894e-06
10.7375,-3.01560193068433e-06
10.75,-3.07415934499557e-06
10.7625,-3.11147918492252e-06
10.775,-3.12668501094852e-06
10.7875,-3.1192447865454e-06
10.8,-3.08883738091301e-06
