time,w_g
10.575,-9.18645125101842e-06
10.5875,-1.00541670467692e-05
10.6,-1.09240959442803e-05
10.6125,-1.17863229075135e-05
10.625,-1.26310221738543e-05
10.6375,-1.34483181801122e-05
10.65,-1.42288747098439e-05
10.6625,-1.49635489750144e-05
10.675,-1.56436133399172e-05
10.6875,-1.62610604471935e-05
10.7,-1.68083708142321e-05
10.7125,-1.72788574331438e-05
10.725,-1.76664427575098e-05
10.7375,-1.79662205185321e-05
10.75,-1.81742580686201e-05
10.7625,-1.82875376242214e-05
10.775,-1.83040348436828e-05
10.7875,-1.82228592084928e-05
10.8,-1.80443861436332e-05
10.8125,-1.77699123660266e-05
10.825,-1.7401847329002e-05
10.8375,-1.69438811220057e-05
10.85,-1.64002854455075e-05
10.8625,-1.57767113549507e-05
10.875,-1.5079293864876e-05
10.8875,-1.43153414044092e-05
10.9,-1.34925316908441e-05
